03:42:36 exp:125.36/29.42/31, hash:124.99/29.55/ 99.7%, now:124.72/29.60/ 99.5%/ 99.8%/31, V:1253, P:3682+0.1%, L:0.00%/0.000, T:70.5/72.9/7.5, d:0
03:42:56 exp:125.36/29.42/31, hash:125.03/29.56/ 99.7%, now:125.00/29.53/ 99.7%/ 99.8%/30, V:1253, P:3681+0.1%, L:0.00%/0.000, T:70.6/73.1/7.5, d:0
03:43:16 exp:125.36/29.42/31, hash:125.01/29.55/ 99.7%, now:125.02/29.53/ 99.7%/ 99.8%/30, V:1253, P:3682+0.1%, L:0.00%/0.000, T:70.6/73.0/7.5, d:0
03:43:36 exp:125.36/29.42/31, hash:124.99/29.54/ 99.7%, now:124.87/29.56/ 99.6%/ 99.8%/30, V:1253, P:3682+0.1%, L:0.00%/0.000, T:70.6/73.1/7.0, d:0
03:43:56 exp:125.36/29.42/31, hash:124.98/29.58/ 99.7%, now:124.56/29.64/ 99.4%/ 99.8%/30, V:1254, P:3681+0.1%, L:0.00%/0.000, T:70.6/72.9/7.0, d:1
03:44:16 exp:125.36/29.42/31, hash:124.93/29.64/ 99.7%, now:124.35/29.70/ 99.2%/ 99.8%/30, V:1254, P:3686+0.2%, L:0.00%/0.000, T:70.6/73.1/7.0, d:268435456
03:44:36 exp:125.36/29.42/31, hash:124.95/29.61/ 99.7%, now:125.39/29.46/100.0%/ 99.8%/30, V:1254, P:3686+0.2%, L:0.00%/0.000, T:70.6/72.9/7.0, d:0
03:44:56 exp:125.36/29.42/31, hash:124.92/29.59/ 99.7%, now:125.08/29.56/ 99.8%/ 99.7%/34, V:1254, P:3688+0.3%, L:0.00%/0.000, T:70.6/73.5/7.5, d:0
03:45:16 exp:125.36/29.42/31, hash:124.96/29.57/ 99.7%, now:124.86/29.63/ 99.6%/ 99.7%/37, V:1254, P:3688+0.3%, L:0.00%/0.000, T:70.0/72.9/7.5, d:0
03:45:36 exp:125.36/29.42/31, hash:124.92/29.64/ 99.7%, now:124.44/29.72/ 99.3%/ 99.8%/30, V:1255, P:3678+0.0%, L:0.00%/0.000, T:69.6/72.2/7.0, d:1
03:45:56 exp:125.36/29.42/31, hash:124.84/29.68/ 99.7%, now:124.32/29.73/ 99.2%/ 99.8%/30, V:1255, P:3683+0.1%, L:0.00%/0.000, T:69.6/72.1/7.0, d:268435456
03:46:16 exp:125.36/29.42/31, hash:124.81/29.64/ 99.7%, now:124.94/29.55/ 99.7%/ 99.8%/30, V:1255, P:3682+0.1%, L:0.00%/0.000, T:69.8/72.1/7.0, d:0
03:46:36 exp:125.36/29.42/31, hash:124.86/29.58/ 99.7%, now:125.23/29.49/ 99.9%/ 99.8%/30, V:1255, P:3686+0.2%, L:0.00%/0.000, T:70.0/72.4/6.5, d:0
