01-02 08:00:04 Miner M50VH80(V226-5D), MAC:CC:04:1A:00:62:45, version:20230911.12.Rel, PowerHw:RT0147, PowerSw:230224.230809, PowerSn:1436B2321600541 PCB0:BHM32X6F843721X43003 PCB1:BHM32X6F843721X43113 PCB2:BHM32X6F843721X44252
12-21 03:37:35 42.1,614,73,91|41.5,607,69,83|41.4,606,69,85|3300,3270|7|19, 9,128|1254,3700,226
12-21 03:47:38 42.2,614,74,91|41.3,607,68,82|41.4,606,68,83|3180,3150|6|19, 2,127|1256,3696,229
12-21 03:57:41 42.2,614,74,91|41.4,607,68,82|41.1,606,67,83|3390,3390|7|19, 4,127|1257,3712,228
12-21 04:07:44 0.0,0,40,0|0.0,0,37,0|0.0,0,37,0|1500,1590|9|18, 4,153|0,11,230
12-21 04:17:48 42.2,613,73,91|41.3,610,68,83|41.1,605,67,83|3240,3270|7|18,10,126|1254,3692,228
12-21 04:27:51 42.0,613,74,91|41.5,610,69,84|41.3,605,69,85|3150,3210|6|18, 2,127|1254,3704,226
12-21 04:37:55 42.1,613,74,91|41.5,610,69,83|41.4,605,68,84|3330,3390|7|18, 4,127|1254,3704,226
12-21 04:47:59 42.5,617,73,91|41.2,612,69,84|41.1,604,68,84|3180,3150|7|19, 6,127|1253,3696,228
12-21 04:58:02 42.4,617,74,91|41.4,612,69,84|41.4,604,69,84|3210,3270|7|18, 4,127|1254,3716,228
