%
0438 C3  , F:610, V:332, T: 59.5, 103.1%
0438 C4  , F:639, V:334, T: 60.0,  99.7%
0438 C5  , F:611, V:335, T: 56.0,  98.5%
0438 C6  , F:608, V:333, T: 58.0,  98.9%
0438 C7  , F:615, V:333, T: 61.0,  98.7%
0438 C8  , F:608, V:336, T: 59.0, 100.5%
0438 C9  , F:602, V:331, T: 60.0, 100.1%
0438 C10 , F:613, V:332, T: 60.5,  95.8%
0438 C11 , F:609, V:335, T: 59.5, 100.5%
0438 C12 , F:615, V:336, T: 62.0, 104.1%
0438 C13 , F:586, V:336, T: 63.0,  98.6%
0438 C14 , F:606, V:335, T: 62.0,  95.4%
0438 C15 , F:601, V:330, T: 64.0,  98.8%
0438 C16 , F:591, V:331, T: 63.5, 101.5%
0438 C17 , F:639, V:329, T: 65.0, 105.7%
0438 C18 , F:600, V:331, T: 67.0,  98.3%
0438 C19 , F:582, V:331, T: 66.5,  94.9%
0438 C20 , F:609, V:331, T: 66.5,  95.8%
0438 C21 , F:617, V:325, T: 69.0,  98.9%
0438 C22 , F:599, V:326, T: 69.5, 103.5%
0438 C23 , F:601, V:326, T: 70.0,  96.5%
0438 C24 , F:605, V:326, T: 70.5, 100.6%
0438 C25 , F:586, V:324, T: 71.0,  98.5%
0438 C26 , F:608, V:325, T: 70.5, 107.0%
0438 C27 , F:591, V:324, T: 71.0,  99.8%
0438 C28 , F:603, V:324, T: 73.0, 100.3%
0438 C29 , F:603, V:326, T: 73.5, 100.2%
0438 C30 , F:624, V:322, T: 74.5, 101.2%
0438 C31 , F:599, V:322, T: 74.5, 102.3%
0438 C32 , F:593, V:323, T: 74.5,  99.6%
0438 C33 , F:576, V:318, T: 74.0, 101.3%
0438 C34 , F:610, V:318, T: 76.5,  97.8%
0438 C35 , F:600, V:322, T: 76.0,  99.4%
0438 C36 , F:590, V:322, T: 78.0, 101.3%
0438 C37 , F:593, V:323, T: 79.0,  96.2%
0438 C38 , F:611, V:322, T: 77.5,  99.5%
0438 C39 , F:598, V:320, T: 79.0,  98.8%
0438 C40 , F:605, V:322, T: 79.0,  99.9%
0438 C41 , F:587, V:322, T: 79.0,  98.3%
0438 C42 , F:598, V:318, T: 79.5, 102.7%
0438 C43 , F:606, V:318, T: 80.5,  99.9%
0438 C44 , F:588, V:319, T: 79.0, 100.7%
0438 C45 , F:600, V:317, T: 80.5,  92.3%
0438 C46 , F:599, V:317, T: 80.5, 101.1%
0438 C47 , F:591, V:321, T: 81.0, 102.7%
0438 C48 , F:598, V:319, T: 81.5, 101.5%
0438 C49 , F:600, V:318, T: 83.0, 101.9%
0438 C50 , F:594, V:319, T: 82.5,  98.7%
0438 C51 , F:598, V:315, T: 83.0, 101.3%
0438 C52 , F:590, V:316, T: 83.0,  99.4%
0438 C53 , F:589, V:318, T: 83.5,  98.5%
0438 C54 , F:612, V:319, T: 88.0,  97.3%
0438 C55 , F:591, V:314, T: 84.5, 101.2%
0438 C56 , F:580, V:311, T: 85.5, 104.0%
0438 C57 , F:559, V:319, T: 80.5,  97.6%
0438 C58 , F:612, V:319, T: 84.0, 104.5%
0438 C59 , F:621, V:329, T: 85.0,  99.8%
0438 C60 , F:588, V:319, T: 83.5, 105.4%
0438 C61 , F:594, V:319, T: 81.5,  96.4%
0438 C62 , F:580, V:319, T: 79.0, 103.5%
0438 C63 , F:577, V:324, T: 78.0,  99.4%
0438 C64 , F:605, V:324, T: 80.0,  98.1%
0438 C65 , F:609, V:322, T: 81.5,  98.0%
0438 C66 , F:607, V:318, T: 80.5,  96.5%
0438 C67 , F:591, V:319, T: 79.0,  97.8%
0438 C68 , F:593, V:319, T: 77.0, 101.3%
0438 C69 , F:583, V:322, T: 76.5, 103.3%
0438 C70 , F:587, V:322, T: 79.0,  95.6%
0438 C71 , F:594, V:326, T: 79.5, 105.4%
0438 C72 , F:607, V:321, T: 78.5,  98.9%
0438 C73 , F:580, V:321, T: 77.5, 100.5%
0438 C74 , F:577, V:320, T: 75.0,  96.5%
0438 C75 , F:593, V:322, T: 74.0,  96.2%
0438 C76 , F:591, V:321, T: 76.0, 100.4%
0438 C77 , F:599, V:322, T: 77.5, 102.9%
0438 C78 , F:583, V:326, T: 75.5, 102.8%
0438 C79 , F:594, V:326, T: 75.5, 102.5%
0438 C80 , F:590, V:325, T: 73.0, 103.8%
0438 C81 , F:581, V:326, T: 71.0, 102.6%
0438 C82 , F:609, V:324, T: 73.0, 100.4%
0438 C83 , F:595, V:330, T: 73.0,  97.5%
0438 C84 , F:604, V:325, T: 72.0, 100.6%
0438 C85 , F:615, V:325, T: 71.0, 103.1%
0438 C86 , F:586, V:326, T: 69.0,  98.7%
0438 C87 , F:598, V:329, T: 68.0, 100.4%
0438 C88 , F:588, V:329, T: 69.5,  95.6%
0438 C89 , F:604, V:329, T: 71.5,  97.6%
0438 C90 , F:605, V:329, T: 69.5, 102.0%
0438 C91 , F:618, V:329, T: 69.0,  98.6%
0438 C92 , F:584, V:330, T: 65.5,  95.7%
0438 C93 , F:574, V:334, T: 63.0,  95.6%
0438 C94 , F:598, V:334, T: 66.0, 102.6%
0438 C95 , F:610, V:338, T: 67.0, 104.9%
0438 C96 , F:608, V:334, T: 63.5,  98.4%
0438 C97 , F:602, V:334, T: 61.5, 100.5%
0438 C98 , F:578, V:333, T: 58.5,  93.8%
0438 C99 , F:581, V:337, T: 58.0, 101.1%
0438 C100, F:614, V:335, T: 60.5,  99.4%
0438 C101, F:610, V:337, T: 62.5, 101.9%
0438 C102, F:631, V:335, T: 62.5, 102.3%
0438 C103, F:608, V:337, T: 57.5, 100.6%
0438 C104, F:544, V:336, T: 54.0,  99.8%
0438 C105, F:580, V:337, T: 53.0,  97.8%
0438 C106, F:602, V:336, T: 56.5,  96.9%
0438 C107, F:617, V:341, T: 63.5,  94.6%
0438 C108, F:625, V:338, T: 60.0, 105.0%
0438 C109, F:577, V:340, T: 54.0, 101.4%
0438 C110, F:598, V:340, T: 56.5,  97.3%
0439 C0  , F:553, V:337, T: 52.0, 103.9%
0439 C1  , F:642, V:334, T: 59.5, 101.2%
0439 C2  , F:615, V:333, T: 63.0,  98.9%
0439 C3  , F:610, V:333, T: 60.0,  94.0%
0439 C4  , F:639, V:334, T: 61.0, 101.0%
0439 C5  , F:611, V:335, T: 56.0, 100.0%
0439 C6  , F:608, V:334, T: 58.0,  98.0%
0439 C7  , F:615, V:333, T: 61.5,  99.7%
0439 C8  , F:608, V:336, T: 60.0, 101.7%
0439 C9  , F:602, V:331, T: 60.5,  98.9%
0439 C10 , F:613, V:332, T: 61.0, 100.8%
0439 C11 , F:609, V:335, T: 60.0,  99.2%
0439 C12 , F:615, V:336, T: 62.5, 105.0%
0439 C13 , F:586, V:337, T: 64.0, 101.6%
0439 C14 , F:606, V:336, T: 62.5, 100.9%
0439 C15 , F:601, V:330, T: 65.0, 100.8%
0439 C16 , F:591, V:331, T: 64.0,  96.1%
0439 C17 , F:639, V:329, T: 65.0,  96.1%
0439 C18 , F:600, V:332, T: 67.0,  96.4%
0439 C19 , F:582, V:332, T: 67.0,  98.8%
0439 C20 , F:609, V:331, T: 67.0, 104.5%
0439 C21 , F:617, V:326, T: 69.0, 102.1%
0439 C22 , F:599, V:326, T: 69.5,  98.9%
0439 C23 , F:601, V:327, T: 70.0,  98.2%
0439 C24 , F:605, V:326, T: 71.0,  97.8%
0439 C25 , F:586, V:325, T: 71.5, 104.3%
